Players,Team,Type,Base,Sold
Riley Meredith,-,BOWL,1.5,TBA
Lance Morris,-,BOWL,1.25,Unsold
Olly Stone,-,BOWL,0.75,Unsold
Daniel Worrall,-,BOWL,1.5,TBA
Pyla Avinash,PBKS,BAT,0.3,0.3
Kiran Chormale,-,BAT,0.3,TBA
Ashish Dahariya,-,BAT,0.3,TBA
Tushar Raheja,-,BAT,0.3,TBA
Sarthak Ranjan,-,BAT,0.3,TBA
Abhijeet Tomar,-,BAT,0.3,TBA
Krish Bhagat,-,AR,0.3,TBA
Sohraab Dhaliwal,-,AR,0.3,TBA
Harsh Dubey,-,AR,0.3,TBA
Ramakrishna Ghosh,CSK,AR,0.3,0.3
Raj Limbani,-,AR,0.3,Unsold
Ninad Rathva,-,AR,0.3,TBA
Vivrant Sharma,-,AR,0.3,TBA
Shiva Singh,-,AR,0.3,Unsold
Sayed Irfan Aftab,-,BOWL,0.3,TBA
Anirudh Chowdhary,-,BOWL,0.3,Unsold
Siddarth Kaul,-,BOWL,0.4,TBA
Prashant Painkra,-,BOWL,0.3,TBA
Satyanarayana Raju,MI,BOWL,0.3,0.3
Yeddala Reddy,-,BOWL,0.3,TBA
Zakary Foulkes,-,AR,0.75,TBA
Chris Green,-,AR,1,TBA
Shakib Al Hasan,-,AR,1,TBA
Mehidy Hasan Miraz,-,AR,1,TBA
Wiaan Mulder,-,AR,0.75,TBA
Dwaine Pretorius,-,AR,0.75,Unsold
Dasun Shanaka,-,AR,0.75,TBA
Shoriful Islam,-,BOWL,0.75,TBA
Blessing Muzarabani,-,BOWL,0.75,Unsold
Matthew Potts,-,BOWL,1.5,TBA
Tanzim Hasan Sakib,-,BOWL,0.75,TBA
Ben Sears,-,BOWL,1,TBA
Tim Southee,-,BOWL,1.5,TBA
John Turner,-,BOWL,1.5,TBA
Joshua Brown,-,BAT,0.3,TBA
Oliver Davies,-,BAT,0.3,TBA
Bevon Jacobs,MI,BAT,0.3,0.3
Atharva Kale,-,BAT,0.3,TBA
Abhishek Nair,-,BAT,0.3,TBA
Vishwanath Singh,-,BAT,0.3,TBA
Lone Nasir,-,AR,0.3,TBA
Brandon McMullen,-,AR,0.3,Unsold
Sudhesan Midhun,-,AR,0.3,TBA
Abid Mushtaq,-,AR,0.3,TBA
Mahesh Pithiya,-,AR,0.3,TBA
Maramreddy Reddy,-,AR,0.3,TBA
Atit Sheth,-,AR,0.3,Unsold
Jonty Sidhu,-,AR,0.3,TBA
Mohit Avasthi,-,BOWL,0.3,TBA
Faridoon Dawoodzai,-,BOWL,0.3,TBA
Praful Hinge,-,BOWL,0.3,TBA
Pankaj Jaswal,-,BOWL,0.3,TBA
Vijay Kumar,-,BOWL,0.3,Unsold
Ashok Sharma,RR,BOWL,0.3,0.3
Mujtaba Yousuf,-,BOWL,0.3,TBA
Ashton Agar,-,AR,1.25,TBA
Roston Chase,-,AR,0.75,Unsold
Junior Dala,-,AR,0.75,TBA
Mahedi Hasan,-,AR,0.75,TBA
Nangeyalia Kharote,-,AR,0.75,TBA
Dan Lawrence,-,AR,1,TBA
Nathan Smith,-,AR,1,Unsold
James Anderson,-,BOWL,1.25,TBA
Kyle Jamieson,-,BOWL,1.5,Unsold
Chris Jordan,-,BOWL,2,Unsold
Hasan Mahmud,-,BOWL,0.75,TBA
Tymal Mills,-,BOWL,2,TBA
David Payne,-,BOWL,1,TBA
Nahid Rana,-,BOWL,0.75,TBA
Prayas Ray Barman,-,BAT,0.3,TBA
Jafar Jamal,-,BAT,0.3,TBA
Ayaz Khan,-,BAT,0.3,TBA
Kaushik Maity,-,BAT,0.3,TBA
Rituraj Sharma,-,BAT,0.3,TBA
Vaibhav Suryavanshi,RR,BAT,0.3,1.1
Kartik Chadha,-,AR,0.3,TBA
Writtick Chatterjee,-,AR,0.3,TBA
Prerit Dutta,-,AR,0.3,TBA
Rajneesh Gurbani,-,AR,0.3,TBA
Shubhang Hegde,-,AR,0.3,TBA
Saransh Jain,-,AR,0.3,TBA
Ripal Patel,-,AR,0.3,Unsold
Akash Vasisht,-,AR,0.3,TBA
Anirudh Kanwar,-,BOWL,0.3,TBA
Shubham Kapse,-,BOWL,0.3,TBA
Atif Mushtaq,-,BOWL,0.3,TBA
Dipesh Parwani,-,BOWL,0.3,TBA
Manish Reddy,-,BOWL,0.3,TBA
Chetan Sharma,-,BOWL,0.3,TBA
Avinash Singh,-,BOWL,0.3,Unsold
Alick Athanaze,-,AR,0.75,TBA
Hilton Cartwright,-,AR,0.75,TBA
Dominic Drakes,-,AR,1.25,TBA
Daryn Dupavillon,-,BOWL,0.75,TBA
Matthew Forde,-,AR,1.25,TBA
Patrick Kruger,-,AR,0.75,TBA
Lahiru Kumara,-,BOWL,0.75,TBA
Michael Neser,-,AR,0.75,TBA
Richard Ngarava,-,BOWL,0.75,TBA
Wayne Parnell,-,BOWL,1,TBA
Keemo Paul,-,AR,1.25,TBA
Odean Smith,-,AR,0.75,TBA
Andrew Tye,-,BOWL,0.75,TBA
Ajay Ahlawat,-,AR,0.4,TBA
Corbin Bosch,-,AR,0.3,TBA
Mayank Gusain,-,AR,0.3,TBA
Mukhtar Hussain,-,AR,0.3,TBA
Girinath Reddy,-,AR,0.3,TBA
Jalaj Saxena,-,AR,0.4,TBA
Yajas Sharma,-,AR,0.3,TBA
Sanjay Yadav,-,AR,0.3,Unsold
Vishal Godara,-,BOWL,0.3,TBA
Eshan Malinga,SRH,BOWL,0.3,1.2
Samarth Nagaraj,-,BOWL,0.3,TBA
Abhishek Saini,-,BOWL,0.3,TBA
Dumindu Sewmina,-,BOWL,0.3,TBA
Pradyuman Singh,-,BOWL,0.3,TBA
Vasu Vats,-,BOWL,0.3,TBA
Umang Kumar,-,AR,0.3,Unsold
Mohamed Ali,-,AR,0.3,TBA
Atharva Ankolekar,-,AR,0.3,TBA
Vaisakh Chandran,-,AR,0.3,TBA
Auqib Nabi,-,AR,0.3,TBA
Rohit Rayudu,-,AR,0.3,TBA
Uday Saharan,-,AR,0.3,TBA
Ayush Vartak,-,AR,0.3,TBA
Baba Aparajith,-,AR,0.3,TBA
Sumit Beniwal,-,AR,0.3,TBA
Nishunk Birla,-,AR,0.3,TBA
Digvijay Deshmukh,-,AR,0.3,Unsold
